ra,dec,z,petroMag_r
226.28461,-1.4565218,0.1135443,17.11406
223.2274,-1.4609872,0.07654016,17.52012
221.60564,-1.3884605,0.0763801,17.22297
221.05566,-1.4579052,0.07653175,16.04883
200.18651,-1.3389451,0.07691361,16.40218
205.22102,-0.69789435,0.1134934,17.44358
237.05719,1.2544113,0.03125086,17.14396
237.01051,1.2244969,0.03143078,16.74575
237.0399,1.2267718,0.03130922,16.27321
234.80874,1.1948915,0.03093655,15.32192
234.77827,1.2226994,0.03086855,17.41759
232.22726,1.4644649,0.07677258,16.04781
232.01444,1.3569959,0.1138023,17.69863
231.98162,1.4538059,0.1137456,17.73023
231.44172,1.4044765,0.07650504,17.76283
230.46507,1.4598757,0.1139793,17.56246
229.91939,1.4215227,0.113729,17.88462
226.84956,1.208432,0.1135964,17.27629
231.34434,0.66235647,0.07644215,17.69713
205.25688,-0.71236347,0.1136031,17.65322
154.2234,0.84527351,0.07635833,17.25959
179.73956,0.42557094,0.07641456,17.40767
161.47109,0.52430262,0.07640266,18.0221
160.34647,0.57171293,0.1139962,17.39079
160.2375,0.53331177,0.1136738,17.4824
160.63588,0.020745553,0.1138442,16.64952
160.56078,-0.33095791,0.1139414,16.6217
160.50806,-0.28294506,0.1139925,16.8994
159.83971,-0.41207641,0.1138531,17.36656
158.4465,-0.29413448,0.03149837,17.10814
158.43529,-0.30071505,0.0316402,16.62132
159.18482,-1.1807991,0.1139297,15.92064
152.49254,-1.1817654,0.03176129,16.67195
152.34263,-1.2271187,0.03180367,16.629
151.44636,-1.1805702,0.03225636,16.95028
175.13245,1.4358084,0.07701662,16.83265
174.96321,1.4758529,0.0766791,17.80341
231.14983,0.72853944,0.1132774,17.23701
151.85576,0.62764017,0.03141538,15.71184
206.20015,-0.58899806,0.07648773,15.95163
205.68582,1.4384957,0.07633038,16.4909
205.75659,1.0303558,0.0767046,17.37942
155.2683,0.16151466,0.1134097,16.16511
152.3687,-0.24027694,0.1139974,17.3548
148.8667,-1.0917401,0.03175354,17.53348
219.05624,1.4133465,0.113333,17.88749
217.72679,1.2776416,0.032307,16.07993
206.50152,-0.49123624,0.07651473,16.90929
159.8017,1.4588941,0.1140617,17.08918
155.13975,1.4621191,0.113449,17.86151
148.39032,1.3089967,0.1138258,16.49873
